🥶	bleu | froid | gel | gelure | gelé | glacial | glacé | glaçon | visage bleu | visage bleu et froid | ça caille
🥴	bouche ondulée | bourré | bourrée | dans les vapes | hébété | pas clair | pompette | rond | saoul | souler | tête qui tourne | visage éméché
😵	fatigué | malade | mort | tournis | visage | visage avec le tournis | visage étourdi | émoticône
😵‍💫	confusion | hagard | malade | nausée | ouh la la | tête qui tourne | visage aux yeux en spirales | étourdi
🤯	choc | choqué | surpris | surprise | tête choquée | tête qui explose
🤠	chapeau | cowboy | visage | visage avec chapeau de cowboy
🥳	anniversaire | chapeau pointu | célébration | fête | heureux | hourra | joyeux anniversaire | sifflet | visage de fête | visage festif | youpi | émoticône
🥸	déguisement | espion | faux nez | grimer | incognito | lunettes | moustache | postiche | smiley | sourcils ébouriffés | visage déguisé
😎	cool | lunettes de soleil | posé | tranquille | visage avec lunettes de soleil
🤓	doué | futé | geek | idiot | intelligent | lunettes | personne | premier de la classe | ringard | surdoué | tronche | visage de geek
🧐	classe | collet monté | fortune | monocle | riche | tête avec monocle | vieux jeu | visage avec un monocle
😕	confus | désolé | ennuyé | je ne sais pas | triste | visage | visage confus | émoticône
🫤	bof | confus | déçu | euh | frustration | incertain | sceptique | visage avec bouche en diagonale
😟	anxieux | inquiet | préoccupé | stressé | surpris | triste | visage | visage inquiet | émoticône
🙁	mécontent | triste | visage | visage légèrement mécontent | émoticône
☹️	malheureux | mécontent | triste | visage | visage mécontent | émoticône
😮	bouche bée | bouche ouverte | choqué | incroyable | omd | oubli | surpris | visage avec bouche ouverte | visage avec la bouche ouverte | visage étonné | émoticône | épaté
😯	incroyable | omd | sans voix | stupeur | stupéfait | surpris | visage | visage sans voix | visage à la bouche ouverte | visage ébahi | émoticône
😲	choc | choqué | impossible | incroyable | omd | stupéfait | visage | visage stupéfait | émoticône | étonné
😳	chaud | comment | gêné | impressionné | incroyable | incrédule | quoi | rouge | visage qui rougit | ébahi | émoticône | étonné
🫪	anxiété | bouffi | choc | gonflé | panique | surprise | visage déformé | vulnérabilité
🥺	embarrassé | excuse | gros yeux | pardon | pitié | supplication | supplie | s’il te plaît | visage implorant | yeux de chiens battus
🥹	admiration | fierté | gratitude | larmes de joie | pleurs | retenir ses larmes | triste | visage retenant ses larmes | ému
😦	bouche | déçu | effrayé | ouverte | peur | pris au dépourvu | surpris | visage | visage déçu avec bouche ouverte | visage mécontent avec bouche ouverte | émoticône
😧	angoisse | comment | hein | mécontent | oubli | peur | quoi | stressé | surpris | terrifié | visage angoissé | émoticône
😨	anxieux | apeuré | blême | effrayé | inquiet | peur | terrifié | visage | visage effrayé | émoticône
😰	aah | bleu | bouche bée | effrayé | froid | mince | nerveux | peur bleue | sueurs froides | terrifié | visage anxieux avec goutte de sueur | visage en sueur bouche ouverte | émoticône
😥	déçu | ouf | pfiou | soulagé | sueur | triste | visage déçu mais soulagé | visage triste mais soulagé | émoticône
😢	horrible | larme | larmes | malheureux | pleurer | triste | visage qui pleure | émoticône
😭	larme | larmes | malheureux | pleurer | pleurs | sangloter | triste | visage | visage qui pleure à chaudes larmes | émoticône
😱	Munch | choqué | cri | effrayé | omd | peur | surpris | terreur | visage | visage qui hurle de peur
😖	confus | déconcerté | frustré | fâché | irrité | triste | visage | visage déconcerté | yeux fermés | émoticône
😣	concentré | mal de tête | migraine | persévérant | visage | visage persévérant | émoticône
😞	abattu | affreux | découragé | déçu | malheureux | tort | triste | visage | visage déçu | émoticône
😓	froide | mal de tête | migraine | mince | ouf | peur | sueur | triste | visage | visage démoralisé avec goutte de sueur | visage et sueurs froides | émoticône
😩	faim | fatigué | mécontent | non | pleurer | sommeil | triste | visage | visage las | visage épuisé | échec | émoticône | épuisé
😫	contrarié | fatigue | mécontent | triste | visage | visage fatigué | émoticône
🥱	bâille | bâiller | dormir | ennui | fatigant | fatigue | sieste | visage bâillant | émoticône
😤	colère | fâché | mécontent | triomphe | victoire | visage | visage avec fumée sortant des narines | émoticône | énervé
😡	colère | exaspéré | furieux | fâché | mécontent | rageur | rouge | rouge de colère | sourcils froncés | visage boudeur | émoticône | énervé
😠	colère | exaspéré | frustré | fâché | mécontent | rageur | sourcils froncés | visage en colère | émoticône
🤬	censuré | colère | gros mots | insulter | insultes | jurer | juron | tête avec des symboles sur la bouche | visage avec des symboles dans la bouche
😈	cornes | fantastique | fâché | sourire | visage | visage souriant avec des cornes | émoticône
👿	diable | diablotin | démon | fantastique | malicieux | mauvais | visage | visage en colère avec des cornes | émoticône
💀	corps | crâne | dead | fantastique | je suis mort | mort | squelette | tête de mort | visage | yolo
☠️	crâne | mort | os | tête | tête de mort
💩	BD | bande dessinée | caca | crotte | dessin | excrément | odeur | popo | puer | sentir mauvais | tas de crotte | visage
🤡	clown | maquillage | visage | visage de clown | émoticône
👹	créature | effrayant | fantastique | japonais | masque | monstre | ogre
👺	colère | créature | fantastique | farfadet | japonais | masque | monstre | monstre japonais | méchant
👻	Halloween | blague | bouh | créature | effrayant | fantastique | fantôme | hanter | monstre | peur | visage | visage de fantôme
👽	alien | créature | espace | extraterrestre | monstre | ovni | science-fiction | visage | émoticône
👾	alien | créature | envahisseur | espace | extraterrestre | fantastique | jeu vidéo | monstre | monstre de l’espace | ovni | pixels
🤖	androïde | automate | machine | monstre | robot | visage | visage de robot
😺	animal | bouche ouverte | chat | chat qui sourit | sourire | visage
😸	animal | chat | chat avec un grand sourire | chat qui sourit avec des yeux rieurs | sourire | visage | yeux rieurs | yeux souriants
😹	animal | chat | chat qui pleure de joie | chat qui rit aux larmes | joie | larmes | lol | mdr | pleurer de rire | rire | rire aux larmes
😻	amour | amoureux | chat | chat souriant aux yeux en cœurs | chat souriant avec des coeurs dans les yeux | coeurs | coeurs dans les yeux | cœur | sourire | yeux
😼	animal | chat | chat avec sourire en coin | ironique | narquois | sourire en coin | sourire narquois | tête de chat | visage
😽	animal | baiser | bise | bisou | chat | chat qui embrasse | chat qui fait un bisou | chat qui fait une bise avec les yeux fermés | embrasser | tête de chat
🙀	animal | chat | chat fatigué | fatigue | inquiet | oh | surpris | tête de chat avec la bouche ouverte | visage
😿	animal | chat | chat qui pleure | larme | pleurer | triste | tête de chat | visage
😾	animal | bouder | chat | chat en colère | chat qui boude | colère | désaccord | ennui | tête de chat | visage
🙈	animal | caché | effrayé | embarras | geste | gêne | interdit | ne pas voir | non | omd | oubli | peur | rien vu rien entendu | secret | singe | singe ne rien voir | visage | voir | yeux
🙉	animal | geste | interdit | ne pas entendre | non | oreilles | rien vu rien entendu | secret | singe | singe ne rien entendre | sourd | visage | écouter
🙊	animal | bouche cousue | chut | geste | interdit | motus | muet | non | parler | se taire | secret | silence | singe | singe ne rien dire | visage
💌	Saint-Valentin | amour | cœur | lettre | lettre d’amour
💘	Cupidon | amour | coeur transpercé | cœur | cœur et flèche | flèche | sentiment
💝	Saint-Valentin | amour | anniversaire | cœur | cœur avec ruban | ruban | sentiment
💖	amour | cœur | cœur étincelant | sentiment | étincelles
💗	amour | cœur | cœur battant | cœur grandissant | cœur qui bat | pulsations | sentiment
💓	amour | cardio | cœur | cœur battant | cœur qui bat | pulsations | sentiment
💞	amour | anniversaire | cœurs | cœurs qui tournent | deux cœurs | sentiment | tourbillon
💕	amour | anniversaire | cœurs | deux cœurs | deux cœurs roses | petits cœurs | rendez-vous | sentiment
💟	amour | cœur | cœur blanc | cœur décoré | cœur violet | décoration avec cœur | sentiment
❣️	amour | cœur | cœur point d’exclamation | exclamation | ponctuation
💔	amour | cœur | cœur brisé | malheureux | sentiment | séparé | triste
❤️‍🔥	amour | cœur enflammé | désir | feu | passion
❤️‍🩹	cœur avec bandages | réconforter | réparer | soigner
❤️	amour | cœur | cœur rouge | sentiment
🩷	143 | adorable | aimer | amour | cœur | cœur rose | jtm | mignon | rose | émotion
🧡	coeur orange | cœur orange | orange
💛	amour | cœur | cœur jaune | sentiment
💚	amour | cœur | cœur vert | sentiment | vert
💙	amour | cœur | cœur bleu | sentiment
🩵	143 | aimer | amour | bleu ciel | bleu clair | cyan | cœur bleu clair | jtm | mignon | spécial | émotion
💜	amour | cœur | cœur violet | sentiment | violet
🤎	brun | cœur | cœur marron | marron
🖤	cœur | cœur noir | noir
🩶	143 | amour | ardoise | argent | argenté | cœur | cœur gris | gris | jtm | spécial | émotion
🤍	blanc | cœur | cœur blanc
💋	baiser | bise | bisou | bouche | embrasser | lèvres | rendez-vous | rouge | sexy | trace de rouge à lèvres
💯	100 | cent | cent points | score
💢	BD | bande dessinée | colère | dessin | furieux | symbole de colère
🫯	bagarre | combat | discussion | dispute | désaccord | grabuge | lutte | nuage de colère
💥	BD | bande dessinée | bombe | boum | collision | détonation | explosion | étincelles
💫	BD | bande dessinée | tournis | voir des étoiles | étincelles | étoile | étoile filante | étourdissement
💦	BD | bande dessinée | eau | effort | entraînement | gouttes | gouttes de sueur | sueur | éclabousser | éclaboussures
💨	BD | bande dessinée | décamper | déguerpir | détaler | filer | fumée | nuage | partir en courant | pet | vent | vite
🕳️	trou
💬	BD | SMS | bande dessinée | bulle | bulle de parole | dialogue | message | écrire
👁️‍🗨️	BD | bande dessinée | bulle de BD | témoin | voir | œil | œil dans une bulle de BD
🗨️	bulle | bulle de parole gauche | bulle à gauche | dialogue | gauche
🗯️	BD | bande dessinée | bulle | bulle colère droite | colère | crier | droite | hurler
💭	BD | bande dessinée | bulle | bulle de pensée | idée | imaginer | inventer | invention | penser | pensée | rêve | rêver
💤	BD | bande dessinée | bonne nuit | dormir | endormi | fatigué | ronfler | zzz
👋	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | salut | signe | signe de la main | à bientôt | à plus tard
👋🏻	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | peau claire | salut | signe | signe de la main | signe de la main : peau claire | à bientôt | à plus tard
👋🏼	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | peau moyennement claire | salut | signe | signe de la main | signe de la main : peau moyennement claire | à bientôt | à plus tard
👋🏽	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | peau légèrement mate | salut | signe | signe de la main | signe de la main : peau légèrement mate | à bientôt | à plus tard
👋🏾	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | peau mate | salut | signe | signe de la main | signe de la main : peau mate | à bientôt | à plus tard
👋🏿	au revoir | bonjour | bye | coucou | hello | il y a quelqu’un ? | main | main qui salue | peau foncée | salut | signe | signe de la main | signe de la main : peau foncée | à bientôt | à plus tard
🤚	dos de main levée | levée | main
🤚🏻	dos de main levée | dos de main levée : peau claire | levée | main | peau claire
🤚🏼	dos de main levée | dos de main levée : peau moyennement claire | levée | main | peau moyennement claire
🤚🏽	dos de main levée | dos de main levée : peau légèrement mate | levée | main | peau légèrement mate
🤚🏾	dos de main levée | dos de main levée : peau mate | levée | main | peau mate
🤚🏿	dos de main levée | dos de main levée : peau foncée | levée | main | peau foncée
🖐️	doigts | main | main levée doigts écartés | paume | stop
🖐🏻	doigts | main | main levée doigts écartés | main levée doigts écartés : peau claire | paume | peau claire | stop
🖐🏼	doigts | main | main levée doigts écartés | main levée doigts écartés : peau moyennement claire | paume | peau moyennement claire | stop
🖐🏽	doigts | main | main levée doigts écartés | main levée doigts écartés : peau légèrement mate | paume | peau légèrement mate | stop
🖐🏾	doigts | main | main levée doigts écartés | main levée doigts écartés : peau mate | paume | peau mate | stop
🖐🏿	doigts | main | main levée doigts écartés | main levée doigts écartés : peau foncée | paume | peau foncée | stop
✋	feuille | main | main levée | paume de la main | stop | tope là
✋🏻	feuille | main | main levée | main levée : peau claire | paume de la main | peau claire | stop | tope là
✋🏼	feuille | main | main levée | main levée : peau moyennement claire | paume de la main | peau moyennement claire | stop | tope là
✋🏽	feuille | main | main levée | main levée : peau légèrement mate | paume de la main | peau légèrement mate | stop | tope là
✋🏾	feuille | main | main levée | main levée : peau mate | paume de la main | peau mate | stop | tope là
✋🏿	feuille | main | main levée | main levée : peau foncée | paume de la main | peau foncée | stop | tope là
🖖	Spock | Star Trek | doigts | main | salut vulcain | vulcain
🖖🏻	Spock | Star Trek | doigts | main | peau claire | salut vulcain | salut vulcain : peau claire | vulcain
🖖🏼	Spock | Star Trek | doigts | main | peau moyennement claire | salut vulcain | salut vulcain : peau moyennement claire | vulcain
🖖🏽	Spock | Star Trek | doigts | main | peau légèrement mate | salut vulcain | salut vulcain : peau légèrement mate | vulcain
🖖🏾	Spock | Star Trek | doigts | main | peau mate | salut vulcain | salut vulcain : peau mate | vulcain
🖖🏿	Spock | Star Trek | doigts | main | peau foncée | salut vulcain | salut vulcain : peau foncée | vulcain
🫱	droite | main vers la droite | serrer la main | tenir la main | vers la droite
🫱🏻	droite | main vers la droite | main vers la droite : peau claire | peau claire | serrer la main | tenir la main | vers la droite
🫱🏼	droite | main vers la droite | main vers la droite : peau moyennement claire | peau moyennement claire | serrer la main | tenir la main | vers la droite
🫱🏽	droite | main vers la droite | main vers la droite : peau légèrement mate | peau légèrement mate | serrer la main | tenir la main | vers la droite
🫱🏾	droite | main vers la droite | main vers la droite : peau mate | peau mate | serrer la main | tenir la main | vers la droite
🫱🏿	droite | main vers la droite | main vers la droite : peau foncée | peau foncée | serrer la main | tenir la main | vers la droite
🫲	gauche | main vers la gauche | serrer la main | tenir la main | vers la gauche
🫲🏻	gauche | main vers la gauche | main vers la gauche : peau claire | peau claire | serrer la main | tenir la main | vers la gauche
🫲🏼	gauche | main vers la gauche | main vers la gauche : peau moyennement claire | peau moyennement claire | serrer la main | tenir la main | vers la gauche
🫲🏽	gauche | main vers la gauche | main vers la gauche : peau légèrement mate | peau légèrement mate | serrer la main | tenir la main | vers la gauche
🫲🏾	gauche | main vers la gauche | main vers la gauche : peau mate | peau mate | serrer la main | tenir la main | vers la gauche
🫲🏿	gauche | main vers la gauche | main vers la gauche : peau foncée | peau foncée | serrer la main | tenir la main | vers la gauche
🫳	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | ouste | rejeter
🫳🏻	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | main paume vers le bas : peau claire | ouste | peau claire | rejeter
🫳🏼	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | main paume vers le bas : peau moyennement claire | ouste | peau moyennement claire | rejeter
🫳🏽	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | main paume vers le bas : peau légèrement mate | ouste | peau légèrement mate | rejeter
🫳🏾	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | main paume vers le bas : peau mate | ouste | peau mate | rejeter
🫳🏿	chasser | choisir | faire partir | laisser tomber | main paume vers le bas | main paume vers le bas : peau foncée | ouste | peau foncée | rejeter
🫴	appeler de la main | attirer | faire venir | main paume vers le haut | offre
🫴🏻	appeler de la main | attirer | faire venir | main paume vers le haut | main paume vers le haut : peau claire | offre | peau claire
🫴🏼	appeler de la main | attirer | faire venir | main paume vers le haut | main paume vers le haut : peau moyennement claire | offre | peau moyennement claire
🫴🏽	appeler de la main | attirer | faire venir | main paume vers le haut | main paume vers le haut : peau légèrement mate | offre | peau légèrement mate
🫴🏾	appeler de la main | attirer | faire venir | main paume vers le haut | main paume vers le haut : peau mate | offre | peau mate
🫴🏿	appeler de la main | attirer | faire venir | main paume vers le haut | main paume vers le haut : peau foncée | offre | peau foncée
🫷	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | pousser | refuser | stop | tape m’en cinq | top là
🫷🏻	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | main qui pousse vers la gauche : peau claire | peau claire | pousser | refuser | stop | tape m’en cinq | top là
🫷🏼	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | main qui pousse vers la gauche : peau moyennement claire | peau moyennement claire | pousser | refuser | stop | tape m’en cinq | top là
🫷🏽	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | main qui pousse vers la gauche : peau légèrement mate | peau légèrement mate | pousser | refuser | stop | tape m’en cinq | top là
🫷🏾	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | main qui pousse vers la gauche : peau mate | peau mate | pousser | refuser | stop | tape m’en cinq | top là
🫷🏿	arrêter | attendre | bloquer | gauche | halte | high five | main | main qui pousse vers la gauche | main qui pousse vers la gauche : peau foncée | peau foncée | pousser | refuser | stop | tape m’en cinq | top là
🫸	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | pousser | refuser | stop | tape m’en cinq | top là
🫸🏻	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | main qui pousse vers la droite : peau claire | peau claire | pousser | refuser | stop | tape m’en cinq | top là
🫸🏼	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | main qui pousse vers la droite : peau moyennement claire | peau moyennement claire | pousser | refuser | stop | tape m’en cinq | top là
🫸🏽	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | main qui pousse vers la droite : peau légèrement mate | peau légèrement mate | pousser | refuser | stop | tape m’en cinq | top là
🫸🏾	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | main qui pousse vers la droite : peau mate | peau mate | pousser | refuser | stop | tape m’en cinq | top là
🫸🏿	arrêter | attendre | bloquer | droite | halte | high five | main | main qui pousse vers la droite | main qui pousse vers la droite : peau foncée | peau foncée | pousser | refuser | stop | tape m’en cinq | top là
👌	OK | compris | d’accord | geste | main | nickel | ok | parfait | super | tout va bien
👌🏻	OK | compris | d’accord | geste | main | nickel | ok | ok : peau claire | parfait | peau claire | super | tout va bien
👌🏼	OK | compris | d’accord | geste | main | nickel | ok | ok : peau moyennement claire | parfait | peau moyennement claire | super | tout va bien
👌🏽	OK | compris | d’accord | geste | main | nickel | ok | ok : peau légèrement mate | parfait | peau légèrement mate | super | tout va bien
👌🏾	OK | compris | d’accord | geste | main | nickel | ok | ok : peau mate | parfait | peau mate | super | tout va bien
👌🏿	OK | compris | d’accord | geste | main | nickel | ok | ok : peau foncée | parfait | peau foncée | super | tout va bien
🤌	agacement | argumentation | bout des doigts joints | doigts | geste | interrogation | main | parler avec les mains | patience | silence !
🤌🏻	agacement | argumentation | bout des doigts joints | bout des doigts joints : peau claire | doigts | geste | interrogation | main | parler avec les mains | patience | peau claire | silence !
🤌🏼	agacement | argumentation | bout des doigts joints | bout des doigts joints : peau moyennement claire | doigts | geste | interrogation | main | parler avec les mains | patience | peau moyennement claire | silence !
🤌🏽	agacement | argumentation | bout des doigts joints | bout des doigts joints : peau légèrement mate | doigts | geste | interrogation | main | parler avec les mains | patience | peau légèrement mate | silence !
🤌🏾	agacement | argumentation | bout des doigts joints | bout des doigts joints : peau mate | doigts | geste | interrogation | main | parler avec les mains | patience | peau mate | silence !
🤌🏿	agacement | argumentation | bout des doigts joints | bout des doigts joints : peau foncée | doigts | geste | interrogation | main | parler avec les mains | patience | peau foncée | silence !
🤏	petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | un peu | à deux doigts
🤏🏻	peau claire | petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | pouce et index rapprochés : peau claire | un peu | à deux doigts
🤏🏼	peau moyennement claire | petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | pouce et index rapprochés : peau moyennement claire | un peu | à deux doigts
🤏🏽	peau légèrement mate | petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | pouce et index rapprochés : peau légèrement mate | un peu | à deux doigts
🤏🏾	peau mate | petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | pouce et index rapprochés : peau mate | un peu | à deux doigts
🤏🏿	peau foncée | petit | petite | petite quantité | petite somme | peu | pouce et index rapprochés | pouce et index rapprochés : peau foncée | un peu | à deux doigts
✌️	V de la victoire | ciseaux | doigts | main | paix et amour | peace and love | victoire
✌🏻	V de la victoire | V de la victoire : peau claire | ciseaux | doigts | main | paix et amour | peace and love | peau claire | victoire
✌🏼	V de la victoire | V de la victoire : peau moyennement claire | ciseaux | doigts | main | paix et amour | peace and love | peau moyennement claire | victoire
✌🏽	V de la victoire | V de la victoire : peau légèrement mate | ciseaux | doigts | main | paix et amour | peace and love | peau légèrement mate | victoire
✌🏾	V de la victoire | V de la victoire : peau mate | ciseaux | doigts | main | paix et amour | peace and love | peau mate | victoire
✌🏿	V de la victoire | V de la victoire : peau foncée | ciseaux | doigts | main | paix et amour | peace and love | peau foncée | victoire
🤞	bonne chance | chance | croisés | doigts | doigts croisés | main
🤞🏻	bonne chance | chance | croisés | doigts | doigts croisés : peau claire | main | peau claire
